Id,Name,Caption__c,DynamicOperationType__c,DynamicOperation__c,Hidden__c,Hint__c,Parent__c,Position__c,RepeatSourceValue__c,Required__c,SurveyVersion__c,Test_Dynamic_Operations__c,Type__c
a0R8Y00000qxo27UAA,country,Country,Calculation,"tw.drill_down.country.value = ""DRC2"" ;",True,,a0R8Y00000qxoNkUAI,21,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo28UAA,is_first_visit_calculation,Is First Visit? - Calculation,Calculation,"if ( tw.drill_down.is_available_pulled_down.value == null ) 
{ tw.drill_down.is_first_visit_calculation.value = ""True2"" ; }

else { tw.drill_down.is_first_visit_calculation.value = ""False2"" ; }",False,,a0R8Y00000qxoNkUAI,22,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo29UAA,is_nah_revisit_calculation,Is NAH Re-visit? - Calculation,Calculation,"if ( tw.drill_down.nah_revisit_workflow_pulled_down.value == ""true"" ) { tw.drill_down.is_nah_revisit_calculation.value = ""True2"" ; } 

else { tw.drill_down.is_nah_revisit_calculation.value = ""False2"" ; }",True,,a0R8Y00000qxoNkUAI,23,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2AUAQ,is_at_home_revisit_calculation,Is At Home Re-visit? - Calculation,Calculation,"if ( tw.drill_down.is_first_visit_calculation.value == ""False2"" &amp;&amp; tw.drill_down.is_nah_revisit_calculation.value == ""False2"" ) 

{ tw.drill_down.is_at_home_revisit_calculation.value = ""True2"" ; } 


else { tw.drill_down.is_at_home_revisit_calculation.value = ""False2"" ; }",True,,a0R8Y00000qxoNkUAI,24,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2BUAQ,should_s3_show,Should Participation & Consent Show in Revisit? - Calculation,Calculation,"if ( tw.drill_down.is_available_pulled_down.value === null || tw.drill_down.is_available_pulled_down.value === 'null' )
{ tw.drill_down.should_s3_show.value = ""True"" ; }

else if ( tw.drill_down.is_18_available_pulled_down.value === null || tw.drill_down.is_18_available_pulled_down.value === 'null' || tw.drill_down.is_there_someone_else_18_pulled_down.value == ""Oui [Ndiyo]"") 
{ tw.drill_down.should_s3_show.value = ""True"" ; }

else if ( tw.drill_down.is_family_member_or_renter_pulled_down.value == ""Aucune personne présente n'est un membre de la famille ou un locataire [Hakuna memba wa familia au mpagaji hii ao mpangaji katika nyumba hii]"" ) 
{ tw.drill_down.should_s3_show.value = ""True"" ; }

else if ( tw.drill_down.nah_revisit_workflow_pulled_down.value == ""True"" &amp;&amp; tw.drill_down.has_youths_pulled_down.value === null )
{ tw.drill_down.should_s3_show.value = ""True"" ; } 

else {tw.drill_down.should_s3_show.value = ""False"" ;}",True,,a0R8Y00000qxoNkUAI,25,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2CUAQ,should_s4_show,Should Youth & Docs Presence Show in Revisit? - Calculation,Calculation,"if ( tw.drill_down.is_available_pulled_down.value == null || tw.drill_down.is_18_available_pulled_down.value == null || tw.drill_down.has_youths_pulled_down.value == null) 
{ tw.drill_down.should_s4_show.value = ""True"" ; }

else if ( tw.drill_down.is_nah_revisit_calculation.value == ""True2"" || tw.drill_down.has_youths_pulled_down.value == ""Personne ici présent sait [Hakuna yeyote hapa anajua]"" || tw.drill_down.is_there_someone_else_18_pulled_down.value == ""Oui [Ndiyo]"" )
{tw.drill_down.should_s4_show.value = ""True"" ;}

else {tw.drill_down.should_s4_show.value = ""False"" ;}",True,,a0R8Y00000qxoNkUAI,26,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2DUAQ,needs_token_calculation,Needs Token? - Calculation,Calculation,"var tokenIsBlank = tw.drill_down.token_number_pulled_down.value === null || tw.drill_down.token_number_pulled_down.value === '' || tw.drill_down.token_number_pulled_down.value === 'null' ;

if ( !tokenIsBlank ) { tw.locating_the_household.needs_token_calculation.value = ""False"" ; }

else { tw.locating_the_household.needs_token_calculation.value = ""True"" ; }",True,,a0R8Y00000qxoO5UAI,4,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2EUAQ,available_yes_no,Y a-t-il quelqu'un à qui parler dans la maison? [Je! Kuna mtu wa kuzungumza naye ndani ya nyumba?],,,False,,a0R8Y00000qxoO5UAI,5,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2FUAQ,abandoned_yes_no,La maison semble-t-elle abandonnée? [Je! Nyumba inaonekana yenye watu wame ihama?],,,False,,a0R8Y00000qxoO5UAI,6,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2GUAQ,is_there_new_info,Y a-t-il de nouveaux renseignements sur le(s) jeune(s) non recensé(s) dans ce ménage? [Je! Kuna habari zengine kuhusu vijana katika familiya hii?],,,False,,a0R8Y00000qxoO5UAI,8,,True,a0e8Y00000IZYo5QAH,False,radio
