Id,Name,Caption__c,DynamicOperationType__c,DynamicOperation__c,Hidden__c,Hint__c,Parent__c,Position__c,Required__c,SurveyVersion__c,Test_Dynamic_Operations__c,Type__c
a0R8Y00000qxo15UAA,community_information,Community Information,,,False,,,1,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo16UAA,proposed_bridge_name,Proposed Bridge Name,,,False,,a0R8Y00000qxo15UAA,1,True,a0e8Y00000IZYo4QAH,False,text-short
a0R8Y00000qxo17UAA,stage_1,Stage,,,False,,a0R8Y00000qxo15UAA,2,True,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo18UAA,site_rejected,Flag for Rejection,,,False,,a0R8Y00000qxo15UAA,3,True,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo19UAA,form_record_type,Form Record Type,Calculation,"tw.community_information.form_record_type.value = ""Project Assessment"";",True,,a0R8Y00000qxo15UAA,4,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1AUAQ,community_information_substage,Community Information - Sub-Stage,,,False,,,2,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo1BUAQ,substage_identified,Sub-Stage (Identified),,,False,,a0R8Y00000qxo1AUAQ,1,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1CUAQ,substage_prospecting,Sub-Stage (Rejected),,,False,,a0R8Y00000qxo1AUAQ,2,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1DUAQ,community_information_1,Community Information 1,,,False,,,3,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo1EUAQ,region_country_and_government_levels_1_2,"Region, Country, and Government Levels 1 & 2",,,False,,a0R8Y00000qxo1DUAQ,1,True,a0e8Y00000IZYo4QAH,False,cascading-select
a0R8Y00000qxo1FUAQ,community_information_2,Community Information 2,,,False,,,4,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo1GUAQ,level_3_government,Level 3 Government,,,False,Bolivia: Municipality; Rwanda: Sector; Uganda: Sub-County,a0R8Y00000qxo1FUAQ,1,False,a0e8Y00000IZYo4QAH,False,text-short
a0R8Y00000qxo1HUAQ,level_4_government,Level 4 Government,,,False,,a0R8Y00000qxo1FUAQ,2,False,a0e8Y00000IZYo4QAH,False,text-short
a0R8Y00000qxo1IUAQ,community_information_3,Community Information 3,,,False,,,5,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo1JUAQ,close_date,Anticipated date of completion,Calculation,"var today = new Date(); tw.community_information_3.close_date.value=new Date(today.getFullYear(), 11, 31);",True,,a0R8Y00000qxo1IUAQ,1,True,a0e8Y00000IZYo4QAH,False,date-date
a0R8Y00000qxo1KUAQ,b2p_fiscal_year,B2P Fiscal Year,,,False,,a0R8Y00000qxo1IUAQ,2,True,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1LUAQ,technical,Technical,,,False,,,6,False,a0e8Y00000IZYo4QAH,False,section
a0R8Y00000qxo1MUAQ,current_crossing_method,Current crossing method,,,False,,a0R8Y00000qxo1LUAQ,1,False,a0e8Y00000IZYo4QAH,False,picture
a0R8Y00000qxo1NUAQ,bridge_type,Bridge type,,,False,,a0R8Y00000qxo1LUAQ,2,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1OUAQ,bridge_classification,Bridge classification,,,False,,a0R8Y00000qxo1LUAQ,3,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1PUAQ,river_meanderingerosion,River meandering/erosion,,,False,,a0R8Y00000qxo1LUAQ,4,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1QUAQ,width_of_river_at_current_crossing,Estimated span (m),,,False,,a0R8Y00000qxo1LUAQ,5,False,a0e8Y00000IZYo4QAH,False,number-decimal
a0R8Y00000qxo1RUAQ,freeboard_required,Freeboard required,,,False,,a0R8Y00000qxo1LUAQ,6,False,a0e8Y00000IZYo4QAH,False,radio
a0R8Y00000qxo1SUAQ,h_from_ground_at_rhs_tower_to_hwl,H from HWL to ground at LHS tower,,,False,,a0R8Y00000qxo1LUAQ,7,False,a0e8Y00000IZYo4QAH,False,number-decimal
a0R8Y00000qxo1TUAQ,estimated_backslope_lhs,Avg slope behind centerline of tower LHS (°),,,False,,a0R8Y00000qxo1LUAQ,8,False,a0e8Y00000IZYo4QAH,False,number-decimal
a0R8Y00000qxo1UUAQ,centerline_lhs,Unobstructed dist behind CL of tower LHS (m),,,False,,a0R8Y00000qxo1LUAQ,9,False,a0e8Y00000IZYo4QAH,False,number-decimal
